R1_1,R1_3,R1_5,R1_7,R1_9,R1_11,R4_1,R4_3,R4_5,R4_7,R4_9,R4_11,class,activity
0.0071739613897398,0.0042099289490291,0.0119209261129078,0.0091628457599847,0.0119441063598783,0.0381210878233621,0.0059291795082812,0.0123453132252871,0.0297965787568271,0.0050224856683371,0.0261730088229212,0.0159527288738011,0,pause
0.0067040619240791,0.0074957854946056,0.0122101911139113,0.0074738527262372,0.0135915547515395,0.0397150051232356,0.0065710405045507,0.0119000160650216,0.0342255945841419,0.0091440024944838,0.0334109581260461,0.0266789745669335,0,pause
0.010518620588096,0.0073916713603779,0.010055506395302,0.012024737289552,0.0121776277494039,0.0397339415275316,0.0073443763375945,0.0124471772913697,0.031033829978059,0.0087241764377442,0.0452810367546175,0.0175794194220941,0,pause
0.0075982703297421,0.0025765433043497,0.0139045314868115,0.0086672462165303,0.0080407117316396,0.0351133458805022,0.0065986826389979,0.0115618966135204,0.031185679535957,0.0029914790710141,0.0486003110419906,0.0327850578820196,0,pause
0.0091703325070863,0.0014741433053034,0.0122144416229084,0.0072565412276761,0.0089715708861758,0.0366331229370972,0.0066100974526667,0.0117171205879182,0.0285763273704063,0.0034877195650255,0.0253711159992794,0.0149408715010346,0,pause
0.0086197905218507,0.0020556294440139,0.0138882137673863,0.0071833919977013,0.0095284103848239,0.0362972454020464,0.0059111891125354,0.012519216998092,0.0282274568472753,0.0028588933166793,0.0215029254730106,0.0149013308378571,0,pause
0.0084962777807042,0.0023541431742795,0.0126622509176966,0.0078431003461944,0.0099420576877955,0.0367020964237477,0.0058266807206205,0.0137336415162489,0.0280674967161028,0.0014628662377055,0.0199938019214043,0.0148665725117074,0,pause
0.0095785440613026,0.002269574627245,0.0116485221519945,0.0080591476967761,0.0096179740699419,0.0364786435781171,0.0061159909923684,0.0123403772206508,0.0274070216789541,0.0015748795374641,0.0188775770252336,0.0148471265613609,0,pause
0.0079907626783438,0.001905935961314,0.0123155742752284,0.0078065109423863,0.0089535534415221,0.0358833217908648,0.0056916427333089,0.012523058080691,0.0264923821155226,0.0017874925215781,0.0176192204552101,0.0152465752380371,0,pause
0.0088792204044484,0.003239415130077,0.0130783747765232,0.0081967078742493,0.0088398024480948,0.0360490266762797,0.0057736520543231,0.0131944224537403,0.0275821741924628,0.0010501921484064,0.0175536835527251,0.015039538947894,0,pause
0.0092751730515412,0.0032677912443454,0.0124919426969604,0.0080685764449206,0.0087329151431368,0.0355262503463809,0.0055590175881757,0.0128326709536342,0.0270971133445154,0.0008343341171068,0.0181829752802451,0.0150458748724862,0,pause
0.0081893911351478,0.0030801795375048,0.0127566152617593,0.0082069530948009,0.008519186485844,0.0352406761980948,0.0055404148330202,0.0124904916132594,0.0274942811895125,0.0006142805736348,0.0179907563493876,0.0154012012937009,0,pause
0.0081305968996407,0.0028421169906301,0.0128975675187659,0.0087324804610749,0.0087772269580237,0.0343628441438841,0.0053432989420802,0.0125785688859035,0.0267787804943362,0.00080703059227,0.0181866789851105,0.0155039000060465,0,pause
0.0072830294489295,0.0037386461988249,0.0139252686532454,0.0094416313628333,0.0089818530640693,0.0349896255760167,0.0061066427449114,0.0131689323814829,0.0267345367439473,0.0010012104634503,0.0183567075409354,0.0150837980400112,0,pause
0.0080368990107381,0.0033213112935544,0.0128684063894211,0.0108778891673628,0.0101588849607867,0.0343379472088399,0.0059461764004583,0.0128146640763959,0.0270971133445154,0.0005089490289074,0.0178912960633781,0.0150855273975805,0,pause
0.0081247110649627,0.0024106120929802,0.0129584539009481,0.0098907957244068,0.0100455868732307,0.0354621246777379,0.0055483365532179,0.0128074098550457,0.0270360877699553,0.0003869749045613,0.0182674092977459,0.0154388890175462,0,pause
0.0076668772502284,0.0026353183253711,0.0129025265727534,0.0095870567064817,0.0100112827156205,0.0352319850052671,0.0055340251233672,0.0132952557209485,0.027103576316895,0.000960791353877,0.0186848831821103,0.0155549540973304,0,pause
0.0074522867341843,0.0022076775519151,0.0129221505042869,0.0094973255531242,0.0093656548325374,0.0348771105011492,0.0053360853304077,0.0134618128754163,0.0271424189866649,0.000776386785959,0.0186355080971282,0.0155676914359015,0,pause
0.0083995215632517,0.0018091083176468,0.013475291032598,0.0088973195934992,0.0094980291589495,0.0333685928130724,0.0060545771695215,0.0131492612087589,0.0263917699904461,0.0017943611840917,0.018975584115918,0.0154793969226958,0,pause
0.0083561805235815,0.002007165983996,0.0130282465413262,0.0083847317388927,0.0093579947688809,0.0345636853183833,0.0056844116946538,0.0128770894687299,0.0267878190429248,0.0014183805668245,0.0192157292273163,0.0151940123436156,0,pause
0.0087240927161677,0.0013606121557362,0.0099176340492212,0.0065429439583764,0.0221584551125095,0.0290546488890954,0.0059199515984757,0.012841553211544,0.0296300685936087,0.0024875281557093,0.0134159397463314,0.0167033025769855,0,pause
0.0074454176432572,0.0012349502784318,0.0093572504655232,0.0057966444384674,0.0305982571232742,0.0284090102016755,0.0059522675758556,0.0129572617677851,0.0302922903091934,0.0016929138857029,0.0136723529982786,0.0171654665144661,0,pause
0.007301460511146,0.0014012583019299,0.0106144041710362,0.0067694311443926,0.0285599230024475,0.028274306007159,0.0056364193856753,0.0128613393284323,0.0296812530237776,0.0010242451108683,0.0128397395073648,0.0173062778522909,0,pause
0.0074789225265894,0.001746092942432,0.0105093570060103,0.0060723533040888,0.0402000353760311,0.0286444309497347,0.0056218528165201,0.0133820976973424,0.0292420746667134,0.0014116713030657,0.0130075717074909,0.0174198425943023,0,pause
0.0074072647489752,0.0019989125915501,0.0106506027176077,0.0064386898296387,0.0397020756245136,0.0287113760214072,0.0057767271836606,0.0130182229084272,0.0291937560394582,0.0012749914256826,0.012911122415516,0.0174773537189187,0,pause
0.0069167581984334,0.0109104438041226,0.0113510083668282,0.0062062652247443,0.0291607251689134,0.0278480942156723,0.0060705912634478,0.0135324589560519,0.0291514593220536,0.0011875976799091,0.013135685058815,0.0174387681254196,0,pause
0.0084994407367995,0.0015290038264849,0.0113368401959005,0.0054881037119887,0.0400112031368783,0.0292639815988083,0.0062187314409733,0.0129678811519628,0.0296243630761938,0.0013682095418386,0.012864416765937,0.0173101723227654,0,pause
0.0075738641097301,0.0013831115168238,0.0105945558815147,0.0070277624728728,0.028997442425578,0.0270149798063025,0.0061189062577442,0.0128559490904416,0.0293441867698799,0.0014500365264201,0.012906773087313,0.0173016068002235,0,pause
0.0077916391037433,0.0020681406856837,0.0105066628002147,0.0180726593195282,0.0394332651137846,0.0292452388751111,0.0060463403618009,0.0136802274201006,0.0297058526470885,0.0012598745820051,0.0128341038073652,0.0171958991219773,0,pause
0.0089268418529624,0.0019172639263341,0.0106651991352656,0.0070326307031997,0.0284489355830751,0.028641723544356,0.0055858307582653,0.0133157742656683,0.0296016505880367,0.0013202768514935,0.0130219184932077,0.0172180755356973,0,pause
0.0083102861397723,0.0014142407252678,0.0105014880608582,0.0060887879232544,0.0399629144154224,0.0276227832716424,0.005665003421662,0.013041924570725,0.0293899815430915,0.001634110821474,0.0133070386250103,0.0171113038984683,0,pause
0.0080136873780416,0.0012867510578058,0.0101240704837787,0.0061531683586854,0.0290881166317124,0.0286716975938711,0.0059120593003196,0.0132437701305305,0.0294420727219196,0.0014057330855869,0.0134938380388595,0.0168129109705925,0,pause
0.0085165817847348,0.001229504014392,0.0096864308601938,0.0062855131492935,0.0395759046062395,0.028316499174574,0.0061150784381111,0.013258027735794,0.0296601246318437,0.0023407861623957,0.0135999651840891,0.0166059718395929,0,pause
0.0085302396997355,0.0011935964505306,0.0097029914322585,0.006775884896688,0.0402016514838429,0.0284292821606254,0.0066025602087465,0.0126585162699909,0.0297400422903401,0.0017581273833614,0.0131664876024352,0.0168613875910304,0,pause
0.0077850455503015,0.0017725251162377,0.0102385164799161,0.007299834877735,0.0231169509666353,0.0287586060128493,0.0058794719998965,0.0131784427034257,0.0293638325674267,0.0016133794329616,0.0132222837792989,0.0169736060426037,0,pause
0.0090544197791989,0.0013141371191696,0.0107357533868618,0.0175856950921842,0.0405061650383188,0.0281117611174987,0.0056131936995268,0.0127654251014213,0.0296704209639326,0.0011878133674378,0.0129973771292953,0.0172045674685715,0,pause
0.0075240185482105,0.0016949396728596,0.0107732268076666,0.0179545140341458,0.0392344572697525,0.0277595798309996,0.0058377593278637,0.0130548302872062,0.0296981774228515,0.0012738644167503,0.0129232526793133,0.0168922913717554,0,pause
0.0066516914918879,0.0017505332561931,0.011317158849905,0.0074336509484595,0.0289615824608656,0.0282980692227369,0.0056056608205229,0.013539513037874,0.0296814292201798,0.0014233576694283,0.0129736518105379,0.0171464235989657,0,pause
0.0080313802087516,0.0021213852391045,0.0115259957307711,0.0074340709418521,0.0397370993506958,0.0284618099434179,0.0061370777690494,0.0129854108908641,0.0299584177162098,0.0015389085322013,0.0128206936251665,0.0166946301722051,0,pause
0.0089111072496313,0.0016123334479702,0.0109055773303582,0.0189657951883777,0.0285475302104238,0.0294094292512065,0.0059106475587252,0.012648413319791,0.029547160222431,0.0014411134388295,0.0129522270059113,0.0173727532686835,0,pause
0.0075342279977939,0.0016896849633076,0.0108802562517952,0.00690618227625,0.0221326097445454,0.0283294946868032,0.0061949424489846,0.0135522105688269,0.0300093929399902,0.0015840121221279,0.0128652442852584,0.0169258866202558,0,pause
0.0079100532030178,0.0104576475730937,0.0115761508140928,0.0072687836272102,0.0289892044202738,0.0285777156688757,0.0053998770987972,0.0130727156736631,0.0293263732074254,0.0013083720371588,0.0130219184932077,0.0171448655413919,0,pause
0.0077268049043576,0.0018043734403447,0.0113358377977641,0.0071525744261131,0.0290959030058977,0.0279333510244556,0.0059146574082562,0.0128781342159148,0.0295218638923987,0.0015337291581544,0.0128721996529654,0.0169665216594615,0,pause
0.0086356979025616,0.001691373689735,0.0110859705933544,0.0066147672031904,0.0396847443905613,0.0282589651566959,0.0056932110735232,0.0136151672963681,0.0296376208103518,0.0015592399703058,0.0127317658831962,0.0172830971310058,0,pause
0.0084337511975926,0.0016550997263789,0.0113910525560382,0.0058698604968954,0.0284270193133169,0.0284143378748916,0.0057089421444385,0.0135200725757495,0.0293194945319142,0.0016810850529852,0.0138251205204881,0.0167847191916479,0,pause
0.0079544622942578,0.0019545344025418,0.0108688327525753,0.0076501494839209,0.0284838610443322,0.0281271007428367,0.0066677646252416,0.0138405431029113,0.0326218507680814,0.0013441053520527,0.0175172764138631,0.0178284899269031,0,pause
0.0080499029584198,0.0019301952604827,0.0226737832114239,0.0146909105867108,0.038532824186283,0.0257418810107292,0.0062871373343417,0.0131854801492596,0.0391109303316998,0.005014489367026,0.0218191974026427,0.0322960905582379,0,pause
0.0081634785561745,0.016359463213293,0.0367929769565585,0.0235570705369363,0.0252093637660772,0.033355125348561,0.0074083732397705,0.0132922514149601,0.0414447644901257,0.0031626653678654,0.0259652584841482,0.0471827198007001,0,pause
0.0096255006463523,0.0213279643737683,0.0267466927714388,0.0167930624500406,0.0342418846733324,0.0381431895335087,0.0090833781446655,0.011680332655874,0.0354681620043767,0.0087903664615874,0.0321771027736662,0.0244637545013308,0,pause
