timestamp,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,R1_7,R1_8,R1_9,R1_10,R1_11,R1_12,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,R2_7,R2_8,R2_9,R2_10,R2_11,R2_12,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,R3_7,R3_8,R3_9,R3_10,R3_11,R3_12,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,R4_7,R4_8,R4_9,R4_10,R4_11,R4_12,Label,Class
1686750385.3734114,109.8429,-1.193,485.1987,-0.7507,98.8568,1.2356,208.4957,0.9928,45.7642,-3.9364,32.9661,2.722600',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',195.3808,-1.666,78.2809,1.7823,32.4786,-0.7149,585.8862,-1.6433,74.146,-1.2448,59.9674,-1.742100',lifting,1
1686750385.584118,113.5731,-1.022,357.4426,-0.811,102.6603,1.5958,55.4627,1.7652,44.4816,-3.9572,34.2946,2.740400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',194.148,-1.8137,77.0731,1.7922,31.9347,-0.694,539.6565,-2.0433,65.3872,-1.1966,61.2252,-1.729600',lifting,1
1686750385.7948122,114.2712,-0.9519,264.7015,-0.4922,99.1955,1.5664,157.4094,1.2479,44.3868,-3.9725,33.1675,2.746900',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',185.6618,-1.7256,74.487,1.828,31.2479,-0.6955,365.4635,-2.2053,52.3876,-1.0191,59.5343,-1.854300',lifting,1
1686750386.0055096,103.7595,-0.8317,208.7619,-0.2837,103.7358,1.6024,56.5073,1.8162,46.5274,-3.9705,33.0771,2.725400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',176.9984,-1.5148,74.862,1.8344,31.103,-0.7188,232.278,-1.4667,41.4731,-0.8939,64.0632,-1.826400',lifting,1
1686750386.2162476,124.0874,-0.9405,170.7844,-0.4857,93.5603,2.2868,45.5992,1.7741,45.6311,-3.933,36.2379,2.743400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',158.1518,-1.4431,74.4628,1.9465,29.8135,-0.7489,138.2732,-1.118,39.7267,-0.8431,65.2195,-1.664100',lifting,1
1686750386.4269109,111.9115,-0.543,98.9968,-0.3992,51.3648,2.7431,37.0677,1.7936,44.135,-3.8422,41.8613,-3.413100',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',131.6405,-1.2867,65.1301,2.0731,26.3169,-0.8209,125.9542,-0.6176,41.4081,-0.9721,64.2844,-1.653200',lifting,1
1686750386.6376035,84.5663,-0.295,44.6924,-0.2975,69.5924,2.6146,49.5595,1.8144,40.2544,-3.8749,37.4737,-3.422000',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',130.2356,-1.3718,52.7071,2.0726,26.9405,-0.9015,29.5111,-0.5777,32.5086,-0.8918,59.3439,-1.816000',lifting,1
1686750386.8482902,79.8612,-0.2206,30.6649,-0.1497,291.6309,1.2551,136.7024,1.3907,35.4802,-3.964,29.9972,2.790400',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',133.4618,-1.2627,55.2599,2.0549,18.3404,-0.9685,16.4021,-0.5366,28.2126,3.1214,32.1149,-2.337400',lifting,1
1686750387.0590055,89.8925,-0.315,29.7465,-0.139,83.1969,0.0944,89.6819,1.1869,26.8863,-4.0555,25.5124,2.694600',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',129.7781,-1.443,57.1738,2.1241,13.0288,-1.0216,15.2854,-0.3919,10.0071,2.9363,27.1431,-2.021100',lifting,1
1686750387.2696066,81.4982,-0.2485,30.0787,-0.1434,66.5771,-0.0254,46.4488,1.2131,27.9142,-4.4423,20.5844,2.560300',1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000000',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000000',151.3944,-1.4839,53.329,2.0209,13.1477,-1.0216,14.8414,-0.3978,11.3535,2.9972,28.1837,-2.036600',lifting,1
