R1_1,R1_3,R1_5,R1_7,R1_9,R1_11,R4_1,R4_3,R4_5,R4_7,R4_9,R4_11
0.025929709742829137,0.033232307119689476,0.02723875311883723,0.022981848935710578,0.04150479795464356,0.05056941157432692,0.009339195857879854,0.013219452159463607,0.030143180105501134,0.01727999115264453,0.07296553837622491,0.08581407522461834
0.025348735224855957,0.0345122725641238,0.027267050768521824,0.023850353342984777,0.040600398695915196,0.050451032228119384,0.009589198726554409,0.013279224918199975,0.031132474907225222,0.017719468912077766,0.07281358992842424,0.08614748449345279
0.026659770672652672,0.034562610168319914,0.02702666180186754,0.010858164145039014,0.0406484236541307,0.05141573218573419,0.008834632466037464,0.013193499826505478,0.03066986042146522,0.018106593516028863,0.07269290880674589,0.08560764305037154
0.025962157559141795,0.03404579840801847,0.026489996052990586,0.022356010525209757,0.0404761615646465,0.052004513991814494,0.010003521239476296,0.013227565717853378,0.030505661850839517,0.017402532764618565,0.07254472382223641,0.08549712302181031
0.025775055931871373,0.03484114181389952,0.026579203368116654,0.010235267867195351,0.040801171809654375,0.052284027752361927,0.010222450750787896,0.013299322532510195,0.031550717778829465,0.017062138602576726,0.07298364436529774,0.08562303602161125
0.02618363104121827,0.0338612299075927,0.026764374476421923,0.010215840273294158,0.04070832485243232,0.05155356673351445,0.00908351015899776,0.013039237674008627,0.030987381938074817,0.016859056600910725,0.0734802448361758,0.08649321893163575
0.026833967509432143,0.03375846493508247,0.02631994525451387,0.02213986193582097,0.040842999509884,0.05249812319209588,0.009832764344036625,0.013051064901640649,0.03154852794568606,0.01742451699238897,0.07289958082741024,0.08592984687301287
0.024787386194913132,0.03483373856582532,0.02647470738829659,0.00989614001058887,0.043199343369980776,0.052773233416011395,0.009301564151027637,0.012881817057586875,0.03103305951830485,0.016878605692140985,0.07328638119178313,0.08599191675982458
0.026853134834960633,0.03486713876772558,0.02662669112772025,0.010005703250852987,0.03356605800214823,0.05509763300568608,0.009117440843764445,0.012808968327264017,0.031060048391555392,0.016931503602177392,0.07344408701655429,0.08554100408030589
0.02546719570521212,0.03468801598423777,0.026620949622514933,0.010392666103384164,0.0356261110893396,0.05052367792165798,0.00915247194538537,0.013048765847726122,0.03105050053406861,0.01769282078411043,0.07315984694960019,0.08621878879845496
0.02639873708441788,0.03598649786600068,0.025868134597077933,0.022151779563211214,0.047649452507790686,0.05100479445067836,0.008998405482548493,0.01289174799211025,0.030956685405780237,0.016896001730150576,0.07296394122024896,0.0858885167053165
0.0261653387757238,0.034962956747326204,0.026509237143682713,0.021476048836535054,0.048204851336238475,0.05133812831451791,0.009792103843302837,0.013040512961617859,0.031599070987312974,0.017163197984354027,0.07311919159421773,0.0857529970672475
0.026616202347016723,0.03470836298006005,0.026137709134345214,0.022064436981761536,0.0590887335511738,0.05157643369591566,0.010078379557821175,0.013071211962773187,0.03024821686761565,0.017170418116851563,0.0729059586039967,0.08560178051703475
0.025952387749434886,0.03514691410094194,0.02579779686814746,0.02182667437875828,0.028222358316705665,0.05200532534531536,0.00946198222850498,0.013324752192921093,0.03029128095768914,0.017075715429787218,0.07359868111163448,0.08504847763225039
