Port2,R2_1,R2_2,R2_3,R2_4,R2_5,R2_6,Port3,R3_1,R3_2,R3_3,R3_4,R3_5,R3_6,Port4,R4_1,R4_2,R4_3,R4_4,R4_5,R4_6,Port1,R1_1,R1_2,R1_3,R1_4,R1_5,R1_6,timestamp
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0003782669164085,0.0018140095961107,0.0006019793683611,0.0015679673060001,0.0002743312476294,0.0028231170373983,4,0.0013012993343723,0.0028871994281035,0.0023618735041959,0.0070380703300291,0.0311670178150673,0.0037888877227534,1,0.0021413005702925,0.0014772955917795,0.0016305148905141,0.0080824278320018,0.0046521300009815,0.0136347336659299,1691407189.9033926
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0001878908058302,0.001046099403922,0.0006009603827684,0.0012525164621369,0.0010647320910465,0.0025781601475738,4,0.0014096962006008,0.0025419989059236,0.0029106607607419,0.0066188257938288,0.0316769458355903,0.0034163845017766,1,0.0033198811748129,0.0018144206890407,0.0027839604900327,0.0077248411579536,0.0045551362805672,0.0134393789931754,1691407190.1141698
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0003665675174845,0.0010271804267071,0.0015497532792779,0.001473043669116,0.0003826228467086,0.0033855211417331,4,0.0013083449906872,0.0020730574467022,0.0023917820282933,0.0070234583508919,0.0330292440927196,0.0032106057867316,1,0.003640874348693,0.0017331010515763,0.0017367771772195,0.0077906800095046,0.0045516696434586,0.0136724651591406,1691407190.3236716
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0008363144458685,0.0014396826939342,0.0011129135364118,0.0013376498401909,0.0002898535181767,0.0027188430778934,4,0.0009056966052226,0.0022401559148516,0.0026848895490137,0.0069242295409789,0.0322153531930247,0.0041848796114757,1,0.0039958075986674,0.0015796403316928,0.0035784115860378,0.0077407229370779,0.0156218024123187,0.0136019630353052,1691407190.5373018
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0007655333022679,0.0021112760721482,0.0007705663978956,0.0017008358928078,0.0001816022897143,0.0023066002212029,4,0.0021072839322761,0.002101744174438,0.0023557764226828,0.0068916990174504,0.0319119740108883,0.0034100596760443,1,0.0061535394235733,0.0015331455332264,0.0038133037014213,0.0075875124719736,0.0043353215117786,0.0144373059987006,1691407190.750111
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0004610062050513,0.0009496389377794,0.0005493539597433,0.0019555939373458,0.0003299299736828,0.002375725784227,4,0.0010214624584456,0.0022450493854738,0.0026354030559079,0.0064025282303476,0.0322767017084058,0.0036787955329121,1,0.0041429791831867,0.0014796902889849,0.0036513914357344,0.008307628147241,0.0043006220849845,0.0140623044460787,1691407190.9591155
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0007132554677094,0.0010060569659635,0.000943757881558,0.0016651594198651,0.0002978388189833,0.0026105618633981,4,0.0014526621704835,0.0026927323154805,0.0025046122434463,0.007134184013435,0.0324800815899649,0.0036007230251834,1,0.0037005965731735,0.001700537982196,0.0033761929777887,0.0074914672188377,0.0041094764526999,0.0127537030376769,1691407191.179251
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.000832118786621,0.0008106455924753,0.0006153247868822,0.0016111286455612,9.91880436986416e-05,0.0019018811887213,4,0.0011872736611174,0.0015442923110612,0.0025312629964534,0.0062731282396786,0.0355119941760329,0.0022795566171197,1,0.003883881271303,0.0025201778035843,0.00508310882936,0.0119388872240773,0.0174111379049177,0.010485521591786,1691407191.3825693
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0003434438627268,0.0011837911527237,0.0011132887038157,0.0009747492189578,0.0002591371970015,0.0018926199367448,4,0.0028809701263564,0.0020703693704586,0.01758461276045,0.0047165406249793,0.0547042959283592,0.0164331515826768,1,0.0055419654247861,0.0104390562675571,0.0186181601534136,0.0071601540292334,0.0216636842994614,0.0106916537743141,1691407191.5913727
2,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0003994193720472,0.0007578018351232,0.0007872257817073,0.0013029529865897,0.0005086447998571,0.000415430484023,4,0.0064443785685746,0.0087810112388162,0.0317296129304518,0.0124938936094983,0.0604295331214271,0.0430947178804294,1,0.0100202910894561,0.02218416405633,0.0236573283305969,0.0077081093164063,0.0189014835774459,0.0270416441319632,1691407191.8021157
